true,predict
27742.0,10590.7705
25904.0,8703.065
10369.0,-8057.4453
34631.0,19803.854
29379.0,10901.405
32362.0,16097.703
29650.0,10371.465
8039.0,-6362.247
38912.0,21263.959
38446.0,27467.5
29132.0,13383.426
27200.0,5175.5854
35213.0,30800.762
28110.0,16785.922
18818.0,2060.837
28217.0,6711.6577
35195.0,35505.082
21449.0,7906.56
16909.0,2597.095
24440.0,4982.4736
31694.0,47296.5
22583.0,6462.8213
14395.0,-4663.312
13007.0,-2675.5762
10651.0,-4669.276
10147.0,-2740.561
25176.0,5277.4653
15067.0,-492.97855
27188.0,10389.554
11079.0,-7869.79
21291.0,1370.3746
13965.0,-1167.4463
19571.0,2552.5676
19005.0,3489.6333
17173.0,40.96788
20167.0,9350.306
23376.0,12439.002
17329.0,-582.4417
17101.0,1930.2416
38187.0,21696.592
27714.0,17129.395
13998.0,-5730.7515
18461.0,1032.7013
33477.0,17882.92
22385.0,14813.888
24375.0,12152.425
50848.0,71146.766
36782.0,27747.088
13962.0,-3620.0547
19374.0,675.0147
20987.0,15560.091
20279.0,2049.1658
22036.0,4588.3105
29700.0,11875.398
21322.0,12007.031
33353.0,25767.5
28617.0,14078.131
23386.0,8193.573
24567.0,7348.392
36619.0,21182.9
14808.0,-722.78625
12639.0,-1779.6696
29747.0,10980.729
16141.0,-3229.5315
15130.0,-3767.0884
27790.0,12938.829
22408.0,17225.467
17711.0,11403.877
30211.0,41767.703
18916.0,6595.066
22569.0,14453.613
21319.0,7895.7026
24664.0,17347.867
46923.0,64920.19
17305.0,11059.175
22231.0,9298.209
17551.0,4651.8564
14891.0,-2866.2437
8429.0,-8819.263
30437.0,7684.5293
24138.0,358.5096
47731.0,38360.32
70754.0,66729.67
47042.0,36337.21
76507.0,72108.54
72773.0,72334.42
56943.0,46993.156
49090.0,36177.4
51351.0,45405.7
52558.0,38024.492
124185.0,104055.836
48993.0,36593.824
43016.0,26267.502
75520.0,56013.598
60961.0,51587.28
41001.0,41275.824
47776.0,37192.453
38706.0,21767.82
33003.0,15347.535
64312.0,58999.742
78276.0,57075.56
123354.0,78393.09
43659.0,30987.477
46849.0,32700.207
44887.0,30796.441
22302.0,10163.39
48769.0,35550.367
132868.0,151262.25
110955.0,117644.64
69710.0,61342.93
34777.0,27013.105
44294.0,37324.023
64073.0,56879.848
39878.0,17327.062
60186.0,41208.582
50336.0,33099.23
144023.0,116711.52
104017.0,103720.8
70300.0,61352.19
68157.0,51570.977
58708.0,54836.79
56415.0,39885.332
68772.0,55836.016
38902.0,27043.05
55337.0,45399.926
42157.0,31888.871
40878.0,31921.451
74587.0,64024.527
58318.0,53426.145
28603.0,15031.836
81687.0,72077.68
66313.0,50306.297
67817.0,65049.66
39171.0,21373.957
41428.0,33270.035
27292.0,15523.119
71661.0,75756.87
37971.0,26473.785
53922.0,50743.73
30630.0,19499.768
34130.0,14247.843
56631.0,54519.832
65347.0,62778.63
77401.0,64065.125
100705.0,86630.17
60527.0,51479.477
66993.0,64506.902
42824.0,35893.086
33880.0,29372.176
152997.0,181080.11
65468.0,61592.637
45557.0,32149.293
68176.0,53592.574
66728.0,55182.258
37023.0,23531.875
41626.0,27129.287
59638.0,46323.12
44586.0,27922.2
50516.0,33579.62
49645.0,30658.78
39235.0,19516.99
51836.0,32721.1
46013.0,38286.344
53995.0,39462.49
39965.0,37588.78
159788.0,144091.14
173747.0,174632.08
58135.0,36113.926
124809.0,106005.695
72602.0,54591.633
49513.0,48660.457
79340.0,80405.67
32538.0,26371.783
51662.0,33227.08
36947.0,24256.967
119704.0,89255.17
59249.0,56158.04
30205.0,26955.332
58276.0,58434.62
80184.0,74614.414
48151.0,31718.086
43620.0,33306.87
45328.0,41862.863
48607.0,40027.51
48226.0,37306.23
45644.0,34918.945
56175.0,33708.277
50865.0,35300.402
41568.0,32924.832
42577.0,22312.191
78919.0,48266.08
46027.0,32024.059
46441.0,31965.943
31132.0,20078.4
63619.0,51417.195
35971.0,19701.217
75297.0,64247.8
61482.0,72565.48
81118.0,77555.05
41406.0,32409.922
62586.0,58096.668
58743.0,37527.652
27344.0,14922.6045
27379.0,10979.155
40172.0,24711.852
62308.0,49501.41
53521.0,40456.203
108702.0,127270.805
76066.0,85507.96
32544.0,9296.505
25230.0,19044.227
34651.0,28914.867
51728.0,44605.242
51062.0,37490.73
30250.0,19751.012
34005.0,25593.693
31234.0,25177.54
32440.0,15156.426
54067.0,43896.09
42685.0,26235.734
32383.0,25820.08
66448.0,57873.305
60221.0,55358.29
73938.0,64799.414
51821.0,46040.246
57912.0,39080.62
39958.0,26227.775
32692.0,14602.204
52471.0,49965.664
61761.0,51653.812
73734.0,60284.773
62845.0,46372.105
26479.0,15324.3125
21125.0,9891.532
43859.0,35438.34
73071.0,90580.49
76015.0,82501.38
26320.0,14976.096
34776.0,31658.193
23507.0,17168.11
46430.0,38307.938
45293.0,40261.953
31834.0,17475.916
93900.0,81641.06
44800.0,57629.496
93271.0,94497.78
64061.0,81886.01
67934.0,53164.453
76225.0,60149.555
69140.0,61900.93
39719.0,26295.45
44350.0,40706.484
15875.0,2340.2234
20952.0,4573.3823
28180.0,22762.334
19391.0,4962.522
24171.0,16273.382
14919.0,2532.3328
19689.0,10274.851
13553.0,469.697
11938.0,-1460.6313
20695.0,6767.6157
16439.0,3424.234
56227.0,60126.367
50049.0,38187.47
22774.0,5000.9946
8998.0,-10611.745
37747.0,30812.049
9173.0,-9208.23
6453.0,5889.897
10454.0,-7455.992
16102.0,646.9313
8010.0,-8064.4424
14835.0,-3092.0354
5255.0,-10519.45
19115.0,-2452.5273
19506.0,15185.861
24904.0,7145.6377
21472.0,6196.151
19685.0,7545.9946
8590.0,-7691.926
21089.0,7269.3125
10869.0,-3483.921
10090.0,-6009.707
12301.0,-3806.4707
10839.0,-7553.6313
6039.0,-12079.643
5591.0,-10309.964
21930.0,13858.094
18038.0,9536.373
44115.0,31649.178
21885.0,13057.472
13908.0,-4148.476
13093.0,-1875.0653
